127.0.0.1 - - [07/Apr/2021:15:47:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:47:42 +0900] "GET /LibraryManage/ HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:47:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:47:45 +0900] "GET /LibraryManage/work/book/goMain.do HTTP/1.1" 200 4390
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:47:45 +0900] "GET /LibraryManage/css/bootstrap.min.css HTTP/1.1" 200 128652
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:47:45 +0900] "GET /LibraryManage/js/jquery-1.9.1.js HTTP/1.1" 200 268381
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:47:45 +0900] "GET /LibraryManage/css/bootstrap-theme.css HTTP/1.1" 200 22475
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:47:45 +0900] "GET /LibraryManage/js/common.js HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:47:45 +0900] "GET /LibraryManage/js/bootstrap.min.js HTTP/1.1" 200 35601
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:47:45 +0900] "GET /LibraryManage/backgroundImage/blueSky.jpg HTTP/1.1" 200 4101
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:47:45 +0900] "GET /LibraryManage/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:48:33 +0900] "GET /LibraryManage/user/login.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:48:33 +0900] "GET /LibraryManage/js/jquery.js HTTP/1.1" 200 100196
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:48:33 +0900] "GET /LibraryManage/js/plugins/metisMenu/metisMenu.min.js HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:48:33 +0900] "GET /LibraryManage/js/sb-admin-2.js HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:48:39 +0900] "GET /LibraryManage/work/user/ajaxLoginCheck.do?id=ranone&pw=ranone HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:48:40 +0900] "POST /LibraryManage/work/user/login.do HTTP/1.1" 302 -
